Seriation_Number	Assemblage	Parkin_Punctated	Barton/Kent/MPI	Painted	Fortune_Noded	Ranch_Incised	Walls_Engraved	Wallace_Incised	Rhodes_Incised	Vernon_Paul_Applique	Hull_Engraved
105	11-N-1	865	323	59	17	35	0	0	0	4	0

106	13-N-5	35	11	33	0	0	0	0	0	0	0
106	12-O-5	204	156	42	7	8	4	2	1	0	0
106	11-N-9	528	198	13	0	19	0	0	0	0	0

107	13-N-5	35	11	33	0	0	0	0	0	0	0
107	12-O-5	204	156	42	7	8	4	2	1	0	0
107	13-O-10	60	74	79	0	2	8	0	2	0	0

108	13-N-5	35	11	33	0	0	0	0	0	0	0
108	12-O-5	204	156	42	7	8	4	2	1	0	0
108	10-P-1	39	62	46	0	0	0	0	0	0	6

109	13-N-5	35	11	33	0	0	0	0	0	0	0
109	12-O-5	204	156	42	7	8	4	2	1	0	0
109	11-O-10	404	208	6	16	4	0	0	0	0	0

110	13-N-5	35	11	33	0	0	0	0	0	0	0
110	12-O-5	204	156	42	7	8	4	2	1	0	0
110	12-N-3	549	328	77	19	4	0	3	1	2	0

111	13-N-5	35	11	33	0	0	0	0	0	0	0
111	12-O-5	204	156	42	7	8	4	2	1	0	0
111	11-N-1	865	323	59	17	35	0	0	0	4	0

112	13-N-5	35	11	33	0	0	0	0	0	0	0
112	12-O-5	204	156	42	7	8	4	2	1	0	0
112	13-O-5	923	637	42	12	33	27	14	13	5	2

113	13-N-5	35	11	33	0	0	0	0	0	0	0
113	11-N-4	764	470	18	5	9	0	0	0	0	0
113	11-N-9	528	198	13	0	19	0	0	0	0	0

114	13-N-5	35	11	33	0	0	0	0	0	0	0
114	11-N-4	764	470	18	5	9	0	0	0	0	0
114	13-O-10	60	74	79	0	2	8	0	2	0	0

115	13-N-5	35	11	33	0	0	0	0	0	0	0
115	11-N-4	764	470	18	5	9	0	0	0	0	0
115	10-P-1	39	62	46	0	0	0	0	0	0	6

116	13-N-5	35	11	33	0	0	0	0	0	0	0
116	11-N-4	764	470	18	5	9	0	0	0	0	0
116	11-O-10	404	208	6	16	4	0	0	0	0	0

117	13-N-5	35	11	33	0	0	0	0	0	0	0
117	11-N-4	764	470	18	5	9	0	0	0	0	0
117	12-N-3	549	328	77	19	4	0	3	1	2	0

118	13-N-5	35	11	33	0	0	0	0	0	0	0
118	11-N-4	764	470	18	5	9	0	0	0	0	0
118	11-N-1	865	323	59	17	35	0	0	0	4	0

119	13-N-5	35	11	33	0	0	0	0	0	0	0
119	11-N-4	764	470	18	5	9	0	0	0	0	0
119	13-O-5	923	637	42	12	33	27	14	13	5	2

120	13-N-5	35	11	33	0	0	0	0	0	0	0
120	11-N-4	764	470	18	5	9	0	0	0	0	0
120	12-O-5	204	156	42	7	8	4	2	1	0	0

121	13-N-4	71	67	96	0	3	4	0	0	0	0
121	13-O-10	60	74	79	0	2	8	0	2	0	0
121	11-N-9	528	198	13	0	19	0	0	0	0	0

122	13-N-4	71	67	96	0	3	4	0	0	0	0
122	10-P-1	39	62	46	0	0	0	0	0	0	6
122	11-N-9	528	198	13	0	19	0	0	0	0	0

123	13-N-4	71	67	96	0	3	4	0	0	0	0
123	10-P-1	39	62	46	0	0	0	0	0	0	6
123	13-O-10	60	74	79	0	2	8	0	2	0	0

124	13-N-4	71	67	96	0	3	4	0	0	0	0
124	11-O-10	404	208	6	16	4	0	0	0	0	0
124	11-N-9	528	198	13	0	19	0	0	0	0	0

125	13-N-4	71	67	96	0	3	4	0	0	0	0
125	11-O-10	404	208	6	16	4	0	0	0	0	0
125	13-O-10	60	74	79	0	2	8	0	2	0	0

126	13-N-4	71	67	96	0	3	4	0	0	0	0
126	11-O-10	404	208	6	16	4	0	0	0	0	0
126	10-P-1	39	62	46	0	0	0	0	0	0	6

127	13-N-4	71	67	96	0	3	4	0	0	0	0
127	12-N-3	549	328	77	19	4	0	3	1	2	0
127	11-N-9	528	198	13	0	19	0	0	0	0	0

128	13-N-4	71	67	96	0	3	4	0	0	0	0
128	12-N-3	549	328	77	19	4	0	3	1	2	0
128	13-O-10	60	74	79	0	2	8	0	2	0	0

129	13-N-4	71	67	96	0	3	4	0	0	0	0
129	12-N-3	549	328	77	19	4	0	3	1	2	0
129	10-P-1	39	62	46	0	0	0	0	0	0	6

130	13-N-4	71	67	96	0	3	4	0	0	0	0
130	12-N-3	549	328	77	19	4	0	3	1	2	0
130	11-O-10	404	208	6	16	4	0	0	0	0	0

131	13-N-4	71	67	96	0	3	4	0	0	0	0
131	11-N-1	865	323	59	17	35	0	0	0	4	0
131	11-N-9	528	198	13	0	19	0	0	0	0	0

132	13-N-4	71	67	96	0	3	4	0	0	0	0
132	11-N-1	865	323	59	17	35	0	0	0	4	0
132	13-O-10	60	74	79	0	2	8	0	2	0	0

133	13-N-4	71	67	96	0	3	4	0	0	0	0
133	11-N-1	865	323	59	17	35	0	0	0	4	0
133	10-P-1	39	62	46	0	0	0	0	0	0	6

134	13-N-4	71	67	96	0	3	4	0	0	0	0
134	11-N-1	865	323	59	17	35	0	0	0	4	0
134	11-O-10	404	208	6	16	4	0	0	0	0	0

135	13-N-4	71	67	96	0	3	4	0	0	0	0
135	11-N-1	865	323	59	17	35	0	0	0	4	0
135	12-N-3	549	328	77	19	4	0	3	1	2	0

136	13-N-4	71	67	96	0	3	4	0	0	0	0
136	13-O-5	923	637	42	12	33	27	14	13	5	2
136	11-N-9	528	198	13	0	19	0	0	0	0	0

137	13-N-4	71	67	96	0	3	4	0	0	0	0
137	13-O-5	923	637	42	12	33	27	14	13	5	2
137	13-O-10	60	74	79	0	2	8	0	2	0	0

138	13-N-4	71	67	96	0	3	4	0	0	0	0
138	13-O-5	923	637	42	12	33	27	14	13	5	2
138	10-P-1	39	62	46	0	0	0	0	0	0	6

139	13-N-4	71	67	96	0	3	4	0	0	0	0
139	13-O-5	923	637	42	12	33	27	14	13	5	2
139	11-O-10	404	208	6	16	4	0	0	0	0	0

140	13-N-4	71	67	96	0	3	4	0	0	0	0
140	13-O-5	923	637	42	12	33	27	14	13	5	2
140	12-N-3	549	328	77	19	4	0	3	1	2	0

141	13-N-4	71	67	96	0	3	4	0	0	0	0
141	13-O-5	923	637	42	12	33	27	14	13	5	2
141	11-N-1	865	323	59	17	35	0	0	0	4	0

142	13-N-4	71	67	96	0	3	4	0	0	0	0
142	12-O-5	204	156	42	7	8	4	2	1	0	0
142	11-N-9	528	198	13	0	19	0	0	0	0	0

143	13-N-4	71	67	96	0	3	4	0	0	0	0
143	12-O-5	204	156	42	7	8	4	2	1	0	0
143	13-O-10	60	74	79	0	2	8	0	2	0	0

144	13-N-4	71	67	96	0	3	4	0	0	0	0
144	12-O-5	204	156	42	7	8	4	2	1	0	0
144	10-P-1	39	62	46	0	0	0	0	0	0	6

145	13-N-4	71	67	96	0	3	4	0	0	0	0
145	12-O-5	204	156	42	7	8	4	2	1	0	0
145	11-O-10	404	208	6	16	4	0	0	0	0	0

146	13-N-4	71	67	96	0	3	4	0	0	0	0
146	12-O-5	204	156	42	7	8	4	2	1	0	0
146	12-N-3	549	328	77	19	4	0	3	1	2	0

147	13-N-4	71	67	96	0	3	4	0	0	0	0
